Month,IC,N_train,N_test,jb_p,bp_p,dw
2014-06-01,-0.16532123808350732,1403,1402,0.0,0.00013872498376733946,2.0880540678284336
2014-07-01,0.2615013689981639,1402,1401,0.0,0.015197292963923923,2.0506866867466154
2014-08-01,0.2276920223654623,1401,1401,1.490208925641416e-253,0.010612821228761157,2.010589966431786
2014-09-01,0.0661212037049608,1401,1400,5.9231853035148865e-266,0.01717452635453467,2.117673955655395
2014-10-01,0.05465941718541393,1400,1741,0.0,0.060575999284333014,1.9710897484658898
2014-11-01,0.13906601474320526,1741,1741,0.0,0.018818081227193605,1.9804801285910107
2014-12-01,0.0973156820097625,1741,1737,0.0,0.008667452586991179,2.022112258872982
2015-01-01,0.04517991845096383,1737,1702,0.0,0.7629595205367826,2.038401431360187
2015-02-01,-0.14497549796782533,1702,1701,0.0,0.14671672095788663,1.935335378778837
2015-03-01,-0.1863727739971508,1701,1697,0.0,0.24338732206479613,2.003935488163429
2015-04-01,-0.15709769791196443,1697,1621,0.0,0.2555224413160258,1.959904114212853
2015-05-01,0.0875539462135479,1621,1620,0.0,0.6815295107361223,1.9158949547657647
2015-06-01,-0.014922429067714084,1620,1619,0.0,0.0012516813478273925,2.022709976980843
2015-07-01,-0.10885451207670989,1619,1617,2.8561854638840667e-305,0.02491404373457732,2.039799965355497
2015-08-01,-0.027067899255082406,1617,1617,0.0,0.041660671806615514,1.998713273509545
2015-09-01,-0.030205270410024646,1617,1632,0.0,9.166227968159976e-06,1.9712985154517
2015-10-01,0.1820469937084696,1632,1667,0.0,0.16439570097643366,2.004210783854976
2015-11-01,0.1219442241898723,1667,1664,5.269610204813947e-277,2.9582069760728673e-07,1.9959012627463821
2015-12-01,0.04664135962022493,1664,1662,0.0,0.040371220614462,2.001282748738049
2016-01-01,-0.04631193601095135,1662,1658,0.0,0.00845525444452346,2.00387676038236
2016-02-01,-0.0471059774196143,1658,1657,0.0,7.136993059620002e-26,1.893631743250051
2016-03-01,0.0979754434461864,1657,1645,1.4344248815281606e-184,5.453042457983635e-07,1.9686572715527402
2016-04-01,-0.09601090016958976,1645,1604,0.0,0.0010323031030590004,1.9561457390518597
2016-05-01,0.008068732639885806,1604,1605,0.0,0.3013757605974551,1.9364737596146009
2016-06-01,0.047128933092753726,1605,1606,0.0,0.00016540893157312683,1.9388059615277946
2016-07-01,-0.07192444892754928,1606,1606,0.0,1.6600447131517759e-12,1.9191937918731707
2016-08-01,-0.03526614891331013,1606,1607,0.0,0.005172268205238687,2.036604261051242
2016-09-01,0.20970685296297795,1607,1639,0.0,0.38939418256310127,1.9351528730194731
2016-10-01,-0.14169876756545266,1639,1706,1.1203952429365153e-197,5.524942308002128e-06,1.9755589099359874
2016-11-01,0.03256547714957613,1706,1706,0.0,0.00010915133217829808,1.9832058897472575
2016-12-01,-0.07780182036839114,1706,1704,0.0,0.7576573937177155,1.9687007168899644
2017-01-01,0.04903531372064442,1704,1679,0.0,0.10350309734781697,1.9811850998421272
2017-02-01,0.06024945343673432,1679,1679,0.0,0.19031600180260227,2.014218295830399
2017-03-01,-0.026898677081634837,1679,1669,0.0,0.36754372675510977,1.9624218291107112
2017-04-01,-0.013161460522367052,1669,1624,0.0,2.104819949940243e-05,1.948656423345823
2017-05-01,0.08901279088524734,1624,1624,0.0,0.380331064335862,1.9596799337197857
2017-06-01,-0.03839990663802332,1624,1624,0.0,0.026542226598524808,2.034002711149684
2017-07-01,-0.0837655703961076,1624,1624,0.0,0.19271449709762675,2.007649556006481
2017-08-01,-0.008985151993759957,1624,1625,0.0,0.0005397505856396719,1.9719504999388382
2017-09-01,0.06055633486337699,1625,1660,0.0,0.032722879075396824,2.030765623680287
2017-10-01,0.014768538192283616,1660,1729,0.0,0.0020242401257821382,1.896200264882042
2017-11-01,-0.00037197099569751397,1729,1729,0.0,0.1419343586477487,1.9652094329297138
2017-12-01,-0.05750582020662509,1729,1729,0.0,8.423795066795556e-05,2.0116921620525043
2018-01-01,-0.050380983797464286,1729,1715,0.0,2.3135815586345617e-13,1.9627375434308023
2018-02-01,0.341711169885793,1715,1715,0.0,0.014816574991881618,2.0701252944316435
2018-03-01,0.11155165511250857,1715,1706,1.1439397121235776e-146,3.7553682259666214e-13,1.8998273332690108
2018-04-01,0.13801928129957833,1706,1617,0.0,2.3144555279313365e-05,1.9756948722185939
2018-05-01,0.06374814805571566,1617,1617,0.0,0.13825760454437674,2.0231974634999017
2018-06-01,0.028712083124195657,1617,1617,0.0,8.475383563003411e-05,1.9477340692828782
2018-07-01,0.05495439315127436,1617,1619,4.132601891328191e-255,0.10477208763352266,2.026387461382603
2018-08-01,0.0830696062044643,1619,1619,0.0,0.004235148633752701,1.9555773780298487
2018-09-01,-0.0657161124852856,1619,1672,0.0,0.07494691118691627,2.0058628658715283
2018-10-01,-0.016151763796120207,1672,1704,6.0919965158802455e-136,0.0059635060210497725,1.9942683055769355
2018-11-01,0.03370223858409951,1704,1704,0.0,0.05727205974938678,1.994171884350167
2018-12-01,-0.08495972118409245,1704,1703,0.0,1.4779921058406377e-05,2.0146274297156936
2019-01-01,0.04810101014882641,1703,1680,0.0,7.467632348735924e-07,2.0193301017935
2019-02-01,0.03882231544360463,1680,1680,0.0,0.15851278583049347,1.8677677117976113
2019-03-01,-0.04106263160731079,1680,1673,0.0,9.772641950399306e-06,2.0588077447818214
2019-04-01,0.059177390262372745,1673,1591,0.0,0.28485511208388326,2.0457944994381956
2019-05-01,0.3820392586505068,1591,1590,0.0,0.4639984932372948,1.9739752495857494
2019-06-01,0.23197795882230607,1590,1590,0.0,2.4057726337743906e-13,1.893853157971498
2019-07-01,0.08680002955759578,1590,1590,4.083980892708664e-279,9.15579587623099e-06,1.8849000607621205
2019-08-01,-0.1350708195262863,1590,1590,7.525869770065658e-272,0.00041515732014936447,2.112535834020551
2019-09-01,-0.026031227946258742,1590,1646,0.0,9.127175644988978e-07,1.9987351088301908
2019-10-01,-0.006199018901669411,1646,1677,0.0,0.00016418065248973094,1.9406490291288896
2019-11-01,-0.03928318251612521,1677,1676,0.0,2.3496880764326797e-25,2.0237740633827617
2019-12-01,0.016271904711675802,1676,1676,0.0,0.0006421307288833937,1.965079332028146
2020-01-01,-0.2608906158787323,1676,1707,0.0,0.0009650708468729962,2.0452559929600276
2020-02-01,0.10832782118741152,1707,1707,0.0,1.2731038639467111e-05,1.9754204540038591
2020-03-01,-0.02637684653462806,1707,1693,2.8641360940937475e-176,0.5613826381890268,1.995571594406151
2020-04-01,-0.19018477861734592,1693,1652,1.8555438714081577e-254,7.50195608119619e-05,1.9490343046427123
2020-05-01,-0.11479435852678897,1652,1653,0.0,4.7107521455954386e-05,1.9175723767364388
2020-06-01,-0.37852426754793034,1653,1653,0.0,6.799610174789925e-05,2.0125126765512658
2020-07-01,-0.17431547427020516,1653,1652,0.0,7.281086019862605e-10,1.923773833385083
2020-08-01,-0.2972509380383397,1652,1651,0.0,0.002148141702154161,2.025986285737784
2020-09-01,-0.03630913806553199,1651,1683,0.0,0.04423203315297628,1.9495637498890468
2020-10-01,-0.04788612751343989,1683,1753,0.0,0.7126921389908105,2.0527826181414945
2020-11-01,0.2605732495807471,1753,1753,0.0,3.6721142318185416e-13,1.9406828902042548
2020-12-01,-0.015441339916871437,1753,1753,0.0,0.016655162682408638,1.9103686942775246
2021-01-01,-0.05376295126354084,1753,1738,0.0,0.08324800205029298,1.9149979351492195
2021-02-01,-0.002785428403861887,1738,1738,0.0,0.0016851646678832692,1.9480896622151336
2021-03-01,0.050416500441308826,1738,1747,0.0,0.09498790091491514,1.9958708112055856
2021-04-01,0.10712093422330106,1747,1738,0.0,5.108137764361801e-08,2.0339140100820425
2021-05-01,0.1795197754390525,1738,1739,0.0,0.10527947321846365,1.8902795753918478
2021-06-01,0.11898159156905219,1739,1739,0.0,0.006393553965429324,1.989814513129935
2021-07-01,-0.26454302462827955,1739,1739,0.0,1.901944078702027e-12,1.9704865105480402
2021-08-01,0.04540104346562549,1739,1739,0.0,0.0004578039485622717,2.0537695095050332
2021-09-01,0.053824481609754705,1739,1780,0.0,0.00012185820110011937,1.966025073617274
2021-10-01,0.04216237841199855,1780,1935,0.0,9.127510961115857e-08,1.8846149157458043
2021-11-01,0.2317866575000515,1935,1935,0.0,9.908717231046246e-16,2.034471013304705
2021-12-01,0.23442801374833272,1935,1935,0.0,2.197161187785754e-09,1.9582205791068945
2022-01-01,-0.07471375664762056,1935,1908,0.0,2.265356892949616e-08,1.928739098060449
2022-02-01,-0.05958181934688842,1908,1908,0.0,0.0022410787728831816,1.9180609696594901
2022-03-01,-0.15813480365287827,1908,1938,0.0,1.0700812180404524e-08,1.9337299325057533
2022-04-01,-0.01993993813244107,1938,1923,0.0,0.004132687950311646,1.9239109707253728
2022-05-01,0.03547690499474833,1923,1922,0.0,0.03531986829826481,1.9987653216061756
2022-06-01,0.03859289573126086,1922,1922,0.0,1.0748716813502947e-07,1.9708567173103946
2022-07-01,-0.00105054606798154,1922,1922,0.0,0.006181970925704526,2.060694474107724
2022-08-01,0.033021361275212616,1922,1922,0.0,0.0014699705994600497,1.9788058123344179
2022-09-01,0.010707776339778095,1922,2075,0.0,0.0025766246231009532,1.8938390449884577
2022-10-01,-0.018286398966955133,2075,2117,0.0,0.14972066385570698,1.9925934409915755
2022-11-01,0.09496694297237032,2117,2115,0.0,0.10473918574498287,2.0259047401470687
2022-12-01,0.004395161248196543,2115,2114,0.0,0.5245106739655141,2.0307337995929444
2023-01-01,-0.07070881548539788,2114,2134,0.0,0.10802025710170776,2.013473923940561
2023-02-01,0.21025693438329845,2134,2134,0.0,1.4428097841561964e-06,2.056214056674147
2023-03-01,-0.11543623045362483,2134,2143,0.0,6.847049506801726e-11,1.986874697012487
2023-04-01,-0.10778849407896364,2143,2120,0.0,0.40263143851900124,2.0128000700974558
2023-05-01,-0.004222553785152134,2120,2120,0.0,0.8060398998438233,1.9414713750408532
2023-06-01,0.1682616745262524,2120,2119,0.0,3.760707860582499e-21,1.9912630965862488
2023-07-01,0.01212875099717273,2119,2118,0.0,0.3893555003691179,2.0835930780787764
2023-08-01,0.11162693196689846,2118,2118,0.0,0.051682531342501406,1.9364296861019274
2023-09-01,0.08404844608023147,2118,2259,0.0,0.00036121436768296177,2.041763730485743
2023-10-01,-0.03003205707401419,2259,2306,0.0,1.5576479399958595e-14,1.9372145344472524
2023-11-01,-0.03227423267271555,2306,2304,0.0,2.265372611688039e-08,2.0360678953321223
2023-12-01,0.09873781226818694,2304,2303,0.0,0.009955053983885012,2.0147656518956887
2024-01-01,-0.057006459496432994,2303,2229,0.0,0.001054055824711806,1.9807360408264822
2024-02-01,0.23080934557446112,2229,2229,0.0,0.021843502875570964,2.0361383570891847
2024-03-01,-0.04356314391227457,2229,2230,0.0,0.2934094212878794,1.966914898786751
2024-04-01,-0.1316072348160827,2230,2231,0.0,0.04702213883356636,1.9929181226260366
2024-05-01,0.02187179083110785,2231,2231,0.0,0.6731522752729461,1.9999511205231453
2024-06-01,0.09902796077582367,2231,2231,0.0,0.0007612359335501427,1.9912211252536505
2024-07-01,0.016988799488104892,2231,2233,0.0,0.0002513081724392305,1.966599038182524
2024-08-01,0.0035963687272761407,2233,2233,0.0,0.009806162047292946,1.9309367238022397
2024-09-01,0.03160866324870451,2233,2437,0.0,0.14706309691089423,2.058059632589955
2024-10-01,-0.009150012244314023,2437,2492,0.0,0.4003602857358791,1.9996387267345794
2024-11-01,0.07334501471543527,2492,2492,0.0,0.023413390406118038,2.0028743723953277
2024-12-01,-0.06085741332841822,2492,2492,0.0,0.030129162316534598,1.9878374985110605
