Month,IC,IC_p,alpha,R2_train,R2_test,MSE_train,MSE_test,N_train,N_test,jb_p,bp_p,dw,normality_ok,homosced_ok,autocorr_ok,post_fails,pre_vif_max,pre_flags,post_flags
2012-05,-0.01930010201396731,0.41933715066520805,754.3120063354608,0.025000763760491984,-0.5994211355009897,0.013992852921018206,0.021766118681181616,1753,1753,0.0,0.038781250078194114,1.9838649551382932,False,False,True,2,3.7961714935307826,,non-normal|heteroscedastic
2012-06,0.0030719456639061466,0.8977316397421973,1000.0,0.007377234524100329,-0.08678394091283947,0.013508352765529506,0.01636093651106483,1753,1753,0.0,0.005087282569317061,1.97438922298347,False,False,True,2,3.854130124457574,,non-normal|heteroscedastic
2012-07,0.12042294799415602,4.296236149886934e-07,1000.0,0.0036471536879282285,-0.011839562221841238,0.014999545951551658,0.016610981515907033,1753,1752,0.0,0.039677017829934116,1.963250221452935,False,False,True,2,3.8941106840052773,,non-normal|heteroscedastic
2012-08,-0.05574886215598422,0.019650403800727488,244.205309454865,0.03807963215656274,-0.6790013089676767,0.01579147727228186,0.027724354932296465,1752,1751,0.0,0.076642270627615,2.039754872186526,False,True,True,1,3.856707434367568,,non-normal
2012-09,-0.11553680435156222,8.227639435348307e-07,1000.0,0.00561804663971166,-0.42960290043160754,0.016419640691156624,0.024057213816283906,1751,1811,1.0745899587444837e-183,4.1714362539230354e-05,1.9819198952307024,False,False,True,2,3.812893541319338,,non-normal|heteroscedastic
2012-10,0.06781453547585913,0.0035564186114390695,1000.0,0.011582843313411417,-0.019052842012711402,0.016632984495844078,0.018936491238573223,1811,1846,0.0,0.006473080062384499,2.009582755735735,False,False,True,2,3.837743123564047,,non-normal|heteroscedastic
2012-11,0.005241299300915862,0.821946623672157,754.3120063354608,0.013567508176711929,-0.02905369121917234,0.01833032544412711,0.01527346407743958,1846,1846,0.0,1.792783489107487e-05,1.9470359517003948,False,False,True,2,3.7508874998472708,,non-normal|heteroscedastic
2012-12,-0.06270451044351887,0.007024851785806023,1000.0,0.011152733463587139,-0.12517310240066215,0.014676710586038309,0.017345663095036302,1846,1847,0.0,1.2387005094101923e-07,1.9740696626012035,False,False,True,2,4.172504990118594,,non-normal|heteroscedastic
2013-01,0.13834996755255424,3.2809182724632457e-09,1000.0,0.010957250120732231,-0.582753598226907,0.015247078240131186,0.018588058820225954,1847,1814,0.0,0.014765160930224928,1.9272263586989704,False,False,True,2,4.407317513785536,,non-normal|heteroscedastic
2013-02,0.2250988106464371,2.9353982431778624e-22,138.9495494373136,0.028260628431932222,-0.025726914021816594,0.011412230316122228,0.016465071389712014,1814,1813,2.429389182020398e-81,0.00614892177504611,1.9989362055884994,False,False,True,2,4.110503867331723,,non-normal|heteroscedastic
2013-03,0.039542730828347535,0.09461528663346012,323.745754281764,0.04923518464416399,-0.6909439969450626,0.015261772256984224,0.033696865823438255,1813,1788,7.321053761629357e-308,0.005778764895983654,1.9540033827750967,False,False,True,2,3.884712129427666,,non-normal|heteroscedastic
2013-04,-0.08838482296273674,0.000719431970572407,1000.0,0.0069830822665617465,-0.15985590758850488,0.019788684839782446,0.02201305718287376,1788,1461,1.2563587655851678e-155,3.164866958730894e-11,1.9753344573102474,False,False,True,2,3.9008614505953534,,non-normal|heteroscedastic
2013-05,0.19773751554595362,2.4012009219696832e-14,429.1934260128778,0.04983055982193596,-0.24226866674801117,0.018033390254093118,0.01786196047099057,1461,1461,0.0,7.391204127705312e-06,2.0309988092386693,False,False,True,2,3.785487195031743,,non-normal|heteroscedastic
2013-06,0.2050467501195408,2.4716608078295047e-15,323.745754281764,0.038760616352911725,0.007863461439856945,0.013821180822993752,0.021225015152096616,1461,1461,7.594573562987569e-224,0.04350125109382696,1.9408022695129534,False,False,True,2,3.835738981353181,,non-normal|heteroscedastic
2013-07,0.0491099486218739,0.060476990023390347,429.1934260128778,0.0274004660833973,-0.06085691747303845,0.020807055321499582,0.02578033384056558,1461,1462,3.664776673774447e-208,8.09714566888958e-05,2.042067310721702,False,False,True,2,3.818283842875607,,non-normal|heteroscedastic
2013-08,-0.04712117618720718,0.07177025191698672,1000.0,0.004563536568053861,-0.32208364071082496,0.024190523643354323,0.03148827798116122,1462,1461,4.1849935851845034e-219,0.0003542380855739409,2.0392243761282,False,False,True,2,3.7861561654670335,,non-normal|heteroscedastic
2013-09,-0.05247830055930828,0.044032813925912,568.9866029018293,0.021253866077530992,-0.019765488299957168,0.02331095355008518,0.025030567533352623,1461,1473,5.718814768675357e-135,1.6009044850325723e-12,1.941755654481041,False,False,True,2,3.868578213286364,,non-normal|heteroscedastic
2013-10,0.06718571393405025,0.009750653431173192,1000.0,0.005454751110316014,-0.033228733311786884,0.0244115262802322,0.02487370098954039,1473,1479,6.119234652931311e-79,1.0243279352221418e-08,2.088634118517065,False,False,True,2,3.9159339439419707,,non-normal|heteroscedastic
2013-11,0.003930096069294029,0.8799634732807817,1000.0,0.009882972220923714,-0.04630943414388078,0.023835840119050867,0.02301403496274243,1479,1479,2.688648409430102e-222,4.448939399260422e-05,1.982274750768989,False,False,True,2,3.954460988110768,,non-normal|heteroscedastic
2013-12,-0.11061955965007961,2.023956874267121e-05,1000.0,0.0060668365566615146,-0.7408816926870749,0.02186199591407742,0.03171043912528311,1479,1478,2.5072007529562795e-192,4.903786246062945e-08,1.9283300723531585,False,False,True,2,3.9255644277015738,,non-normal|heteroscedastic
2014-01,0.23340181996769427,4.394501964920853e-19,1000.0,0.006051093559694021,-0.1418811782133751,0.018104938677749958,0.020225208416746573,1478,1425,0.0,2.6206217141315996e-09,1.9466345704359438,False,False,True,2,3.92021866236872,,non-normal|heteroscedastic
2014-02,0.016287061811912938,0.539001041318096,429.1934260128778,0.052306957174693025,-0.22641257711797613,0.016785712622247036,0.02952690476424245,1425,1425,7.8101475191094e-310,0.010195944206825864,2.048196658856061,False,False,True,2,3.7863954913771463,,non-normal|heteroscedastic
2014-03,0.0068912256181693,0.7955663091894308,429.1934260128778,0.028807549180317138,-0.021517660667154326,0.023382267548570194,0.024498188594313235,1425,1416,7.112028058874458e-91,0.00019723004088282225,1.9610267984448067,False,False,True,2,3.7787556859060745,,non-normal|heteroscedastic
2014-04,0.0786312813464192,0.0031957370740308974,184.20699693267164,0.06543350403622983,-0.29471170898291277,0.022412912819435787,0.0511500179487956,1416,1404,1.1224637684862903e-153,0.0002802997137340747,2.0739239030950887,False,False,True,2,3.8936102654830274,,non-normal|heteroscedastic
2014-05,0.10177713143924538,0.0001341287965470193,138.9495494373136,0.0770441101448408,-0.05253672377279184,0.036463106037037514,0.03159122200988287,1404,1403,1.2185610395727789e-13,6.196024763563603e-07,1.9758047679551884,False,False,True,2,3.9094012539807745,,non-normal|heteroscedastic
2014-06,-0.09443591955952244,0.0003989869352754836,138.9495494373136,0.04974475578210791,-1.498624136761049,0.028521308290828978,0.06177096642246346,1403,1402,1.2239711462843088e-32,2.238934883493515e-10,2.090791320599102,False,False,True,2,4.122845875004575,,non-normal|heteroscedastic
