co_code,status,reason,N,features_used,R²,Adj R²,F-stat,F p-value,AIC,BIC,pre_fails,pre_warns,post_fails,post_warns,coef_const,pval_const,coef_lag_ret,pval_lag_ret,coef_Momentum,pval_Momentum,coef_BM_sep,pval_BM_sep,coef_OpProf,pval_OpProf,coef_Inv,pval_Inv,coef_mktcap,pval_mktcap
4746,OK,,107.0,lag_ret|Momentum|BM_sep|OpProf|Inv|mktcap,0.112207,0.058939,1.6012,0.154612,-43.2535,-24.5437,1.0,0.0,1.0,2.0,0.148173,0.687253,0.114336,0.432219,-0.007033,0.680858,0.199562,0.008643,0.046013,0.098618,0.143102,0.202887,0.089698,0.034143
4747,OK,,196.0,lag_ret|Momentum|BM_sep|OpProf|Inv|mktcap,0.133903,0.106408,3.1195,0.006147,-145.7123,-122.7655,1.0,0.0,2.0,2.0,0.254613,0.247282,0.050866,0.597091,-0.002586,0.770263,0.203032,0.000434,0.055949,0.303138,0.136146,0.210283,0.060378,0.001121
4751,SKIPPED,Insufficient obs (0) or features (6),,,,,,,,,,,,,,,,,,,,,,,,,,
4753,OK,,52.0,lag_ret|Momentum|BM_sep|OpProf|Inv|mktcap,0.514253,0.449487,4.451,0.00129,-53.4637,-39.805,1.0,0.0,2.0,1.0,-3.994269,0.002263,-0.153078,0.208026,-0.339477,0.001218,0.144148,0.066474,-0.705441,0.322722,-0.797164,0.128678,0.6152,0.000108
4754,SKIPPED,Insufficient obs (12) or features (6),,,,,,,,,,,,,,,,,,,,,,,,,,
4758,OK,,85.0,lag_ret|Momentum|BM_sep|OpProf|Inv|mktcap,0.389664,0.342715,5.0315,0.000209,-50.5721,-33.4735,1.0,0.0,1.0,1.0,0.179958,0.303077,-0.033904,0.774524,-0.084559,0.000323,-0.065094,0.078404,0.690912,0.004316,-0.174686,0.006363,0.264479,1.8e-05
4763,OK,,157.0,lag_ret|Momentum|BM_sep|OpProf|Inv|mktcap,0.063325,0.025858,3.12,0.006558,-46.3576,-24.9638,1.0,0.0,1.0,2.0,0.932602,0.000201,-0.029747,0.707432,-0.007502,0.612448,0.032395,0.121039,0.131805,2e-05,0.018697,0.715135,0.004771,0.85722
4781,OK,,208.0,lag_ret|Momentum|BM_sep|OpProf|Inv|mktcap,0.059514,0.03144,1.3743,0.226534,-79.0681,-55.7054,1.0,0.0,2.0,1.0,0.93952,0.0,-0.13325,0.251145,0.002011,0.890374,0.028967,0.129075,-0.001442,0.185888,-0.085633,0.200177,0.033286,0.022997
4799,OK,,76.0,lag_ret|Momentum|BM_sep|OpProf|Inv|mktcap,0.447927,0.399921,10.257,0.0,-121.2687,-104.9536,1.0,0.0,2.0,2.0,-2.857309,0.0,-0.109655,0.317444,-0.235499,0.0,0.890986,1.1e-05,-0.933712,0.076061,0.008769,0.903245,0.503231,0.0
4870,OK,,280.0,lag_ret|Momentum|BM_sep|OpProf|Inv|mktcap,0.02993,0.00861,1.244,0.283933,-336.2013,-310.7578,1.0,0.0,2.0,2.0,0.937072,0.0,-0.049783,0.447642,0.007969,0.599714,0.030751,0.117545,0.098215,0.037309,-0.016898,0.81044,0.007464,0.260602
